id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
1,Alvaro,Vargas,IDNAL,3163119785,1981-10-13,2016-02-21,BAS,579,Lima,Lima,ACTIVO,APP
2,Esteban,Gonzales,IDNAL,2410529190,1956-08-08,2025-08-16,BAS,401,Ciudad de México,Ciudad de México,ACTIVO,APP
3,Edwin,Crespo,IDNAL,5756332150,1956-04-02,2017-05-04,STD,590,Cali,Valle del Cauca,ACTIVO,APP
4,Caridad,Muñoz,IDNAL,6887950851,1991-04-05,2024-09-21,BAS,349,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
5,Camila,Urías,IDNAL,7995970241,1989-07-19,2016-05-18,BAS,493,Ciudad de México,Ciudad de México,ACTIVO,APP
6,Santiago,Gonzales,IDNAL,5927597015,1984-11-10,2018-05-14,BAS,335,Bogotá,Cundinamarca,ACTIVO,WEB
7,Maritza,Narváez,IDNAL,9324969473,1952-09-20,2022-01-20,BAS,442,Bogotá,Cundinamarca,ACTIVO,APP
8,Edisson,Meléndez,IDNAL,5649827836,1946-02-08,2025-04-01,PRE,718,Guadalajara,Jalisco,ACTIVO,APP
9,Fernanda,Medina,IDNAL,4908596099,1958-05-21,2025-07-18,BAS,585,Barranquilla,Atlántico,ACTIVO,APP
10,Ernesto,Morales,IDNAL,6483366056,1993-01-12,2017-06-19,BAS,505,Valparaíso,Valparaíso,ACTIVO,APP
11,Rosario,Pichardo,IDNAL,5947530309,1977-08-10,2025-01-04,BAS,502,Medellín,Antioquia,INACTIVO,WEB
12,Gabino,Solano,PASP,4774080233,1952-05-13,2015-08-28,STD,699,Lima,Lima,ACTIVO,APP
13,Miller,Sarabia,IDNAL,2615507143,1967-01-17,2024-10-10,STD,562,Medellín,Antioquia,ACTIVO,CORRESPONSAL
14,Ofelia,Reyes,PASP,8285415473,1957-11-23,2019-09-12,BAS,605,Ciudad de México,Ciudad de México,ACTIVO,WEB
15,Enrique,Ayala,CE,9141371741,2006-01-13,2020-02-10,STD,724,Cali,Valle del Cauca,INACTIVO,WEB
16,Octavio,Marrero,PASP,7086172302,2002-10-27,2017-08-28,STD,550,Bogotá,Cundinamarca,ACTIVO,APP
17,Mauricio,Mireles,CE,9578269843,1942-02-02,2026-05-03,PRE,776,Barranquilla,Atlántico,ACTIVO,APP
18,Maximiliano,Aparicio,IDNAL,8894264595,1960-07-20,2019-03-31,STD,685,Barranquilla,Atlántico,ACTIVO,APP
19,Micaela,Vargas,PASP,7763140509,1948-01-08,2022-12-07,STD,628,Barranquilla,Atlántico,ACTIVO,APP
20,Estela,Alvarado,IDNAL,422701550,1991-02-26,2017-06-16,BAS,572,Arequipa,Arequipa,ACTIVO,APP
21,Juan Carlos,Terán,IDNAL,4897045684,1960-07-22,2019-11-07,BAS,516,Cali,Valle del Cauca,ACTIVO,APP
22,Esparta,Arteaga,CE,4161807235,1952-12-01,2023-11-11,PRE,795,Lima,Lima,ACTIVO,WEB
23,Fernanda,Pabón,IDNAL,1627677155,1959-08-25,2020-06-14,STD,608,Medellín,Antioquia,ACTIVO,APP
24,Jhon,Sánchez,IDNAL,8841118422,1992-07-02,2016-07-28,BAS,469,Bogotá,Cundinamarca,ACTIVO,APP
25,Natalia,Mora,IDNAL,2181106786,1946-04-07,2019-08-08,BAS,592,Barranquilla,Atlántico,ACTIVO,APP
26,Paola,Véliz,IDNAL,2660223333,1986-05-03,2020-01-14,BAS,481,Medellín,Antioquia,ACTIVO,APP
27,Wendolin,Moreno,IDNAL,9152052517,1972-09-18,2016-10-31,STD,653,Buenos Aires,Buenos Aires,ACTIVO,WEB
28,Fabiola,Benavides,IDNAL,6467725516,2005-02-09,2016-10-08,PRE,746,Ciudad de México,Ciudad de México,ACTIVO,APP
29,Beatriz,Sánchez,IDNAL,8623534576,2005-01-02,2017-11-19,BAS,325,Santiago,Región Metropolitana,ACTIVO,APP
30,Martha,Uribe,IDNAL,5464693977,1990-06-08,2019-01-24,STD,654,Lima,Lima,ACTIVO,APP
31,José,Espitia,IDNAL,8986353481,1998-01-14,2016-05-07,BAS,435,Barranquilla,Atlántico,ACTIVO,APP
32,Alta  Gracia,Iglesias,PASP,7478529823,1979-10-09,2017-07-03,STD,719,Arequipa,Arequipa,ACTIVO,WEB
33,Isaac,Negrón,IDNAL,1845919895,1962-07-31,2016-04-11,BAS,460,Guadalajara,Jalisco,ACTIVO,CORRESPONSAL
34,Laura,Candelaria,IDNAL,3993808565,2008-01-12,2022-08-12,STD,570,Barranquilla,Atlántico,ACTIVO,WEB
35,José Carlos,Ocampo,PASP,3482141802,1952-06-08,2022-02-09,BAS,591,Barranquilla,Atlántico,ACTIVO,WEB
36,Gloria,Feliciano,IDNAL,5796738787,1956-10-09,2018-11-20,STD,616,Guadalajara,Jalisco,ACTIVO,APP
37,Teresa,Leiva,IDNAL,6597996327,1949-06-14,2018-08-21,STD,630,Ciudad de México,Ciudad de México,ACTIVO,APP
38,María,Herrera,PASP,4791662169,1958-12-08,2023-01-07,PRE,837,Ciudad de México,Ciudad de México,ACTIVO,APP
39,Lilia,Narváez,IDNAL,9938192006,1990-07-31,2024-03-24,BAS,380,Santiago,Región Metropolitana,ACTIVO,WEB
40,Enrique,Castillo,IDNAL,2381183483,1970-03-19,2018-07-24,STD,720,Lima,Lima,ACTIVO,CORRESPONSAL
